,Auth,Test,Coef,P>|t|,count,mean,std,skew,kurt
0,Kent,Maths,0.010503765072626507,1.818038558326301e-21,16386,100.0,15.0,-0.15596146937142888,-0.7907250147698179
1,Kent,English,0.011796443251267838,1.1361368716934092e-26,16386,100.0,14.999999999999998,-0.3263229456020221,-0.5481084881042504
2,Kent,Reasoning,0.011788343212425164,1.2300111759501663e-26,16386,100.0,15.0,-0.08548146145971494,-0.8307350315297213
3,Lincs,Verbal_Reasoning,0.014139162067353219,6.117366648931225e-11,4241,100.0,15.000000000000004,-0.2821480686220997,-0.8645473487608646
4,Lincs,Non_Verbal_Reasoning,0.014358774923641654,3.326082546332907e-11,4229,100.0,14.999999999999998,-0.24636098730981595,-0.5515562457977028
