,pct_own_aa,pct_own_aa
selective,False,True
year,,
2010,0.4165144318597004,0.7865853658536586
2011,0.47283018867924526,0.8048780487804879
2012,0.6325532658050995,0.9207317073170732
2013,0.721025641025641,0.9390243902439024
2014,0.7523689197725837,0.9386503067484663
2015,0.7852703542573026,0.9447852760736196
2016,0.8053152039555006,0.9454545454545454
2017,0.8286594761171032,0.9447852760736196
2018,0.8523838630806846,0.9451219512195121
2019,0.8721071863580999,0.9451219512195121
2020,0.8849073792894018,0.9447852760736196
2021,0.8946569520340012,0.9451219512195121
2022,0.9009063444108761,0.950920245398773
