Rank,School,Town,Type,A-level(%A*),A-level(% A*/A),A-level(%A*/B),A-level_rank,GCSE_(%9/8/7),GCSE_rank,FINAL URL ,corrected name,KS2ASS,ATT8SCR
125,"St Peter's RC School, Guildford",Guildford,Comprehensive,17.6,45.7,73.8,105=,50,156,147430,St Peter's Catholic School,107.4,63.5
195,Parliament Hill School,London,Comprehensive,13.1,33.8,62.5,223,49.9,157,100050,Parliament Hill School,107.4,58.8
137,Parkstone Grammar School,Poole,Selective (100%),13.8,38.5,72.4,120,49.6,158,136368,Parkstone Grammar School,112,67.8
225,"Sacred Heart High School, Hammersmith",London,Comprehensive,-,24,58,283=,49.2,159,137935,Sacred Heart High School,108.6,63.1
210,The Kingston Academy,Kingston upon Thames,Comprehensive,11.5,32.5,61.1,239,48.6,160,141862,The Kingston Academy,105.9,62.1
155,St Mark's RC School,London,Comprehensive,8.6,34.8,70,136=,48.4,161,137995,St Mark's Catholic School,106.9,64.7
131,The Royal School Dungannon,Dungannon,Selective (100%),15.8,42.3,74.3,97=,48,162,999999,not an English school,#N/A,#N/A
197,Orleans Park,London,Comprehensive,12,30,63,216=,48,162,138651,Orleans Park School,108.5,64.1
184,Grey Court School,London,Comprehensive,-,35,65,194=,48,162,138825,Grey Court School,108.1,63.2
130,Ballyclare High School,Ballyclare,Selective (100%),13.6,38.2,74.4,95=,47.9,165,999999,not an English school,#N/A,#N/A
304,Mayfield Grammar School,Gravesend,Selective (100%),2.5,18.4,48.5,361=,47.9,165,137834,"Mayfield Grammar School, Gravesend",111.1,65.3
201,Skipton Girls' High School,Skipton,Selective (100%),11.7,35.7,62.7,219,47.8,167,136664,Skipton Girls' High School,111.5,66.9
81,JFS,Harrow,Comprehensive,25,55.7,83.6,37,47.8,167,133724,JFS,106.8,63.7
136,St George's School,Harpenden,Comprehensive,18.3,46.5,73.9,102,47.5,169,138356,St George's School,109.1,64.2
220,Graveney School,London,Partially selective (25%),10.7,31.2,59.7,261,47.3,170,137005,Graveney School,107.9,61.9
117,St Clement Danes School,Rickmansworth,Partially selective (20%),16.4,44.8,76.3,74,47.2,171,136901,St Clement Danes School,109,63.8
191,The Fulham Boys School,London,Partially selective (12%),12.9,31.6,64.1,207,47.1,172,141135,The Fulham Boys School,107,62
168,Salesian School,Chertsey,Comprehensive,11.5,32.3,67.5,164=,47.1,172,143367,"Salesian School, Chertsey",107.5,62.6
231,Torquay Boys' Grammar School,Torquay,Selective (100%),12.6,37.1,58.6,275,47,174,136321,Torquay Boys' Grammar School,111.9,66.9
244,Chatham and Clarendon Grammar School,Ramsgate,Selective (100%),-,30,57,296,47,174,136382,Chatham & Clarendon Grammar School,111.4,64.5
145,Limavady Grammar School,Limavady,Selective (100%),9.8,39.6,71.7,123=,46.7,176,999999,not an English school,#N/A,#N/A
240,Barton Court Grammar School,Canterbury,Selective (100%),-,-,58,283,46,177,137474,Barton Court Grammar School,111.4,66
216,Hasmonean High School for Boys,London,Comprehensive,17,41,61,241,46,177,137539,Hasmonean High School for Boys,106.5,59
284,Spalding High School,Spalding,Selective (100%),-,-,52,339,46,177,120642,Spalding High School,110.3,65.1
292,Plymouth High School for Girls,Plymouth,Selective (100%),4.9,21.6,51.1,346,46,177,148369,Plymouth High School for Girls,111.8,65.3
110,Twyford CofE High School,London,Partially selective (10%),-,48,78,65,46,177,137546,Twyford Church of England High School,107.5,63.5
197,"Glenthorne High School, Sutton",Sutton,Partially selective (10%),-,28,64,208=,46,177,136914,Glenthorne High School,107.8,60.8
225,Churston Ferrers Grammar School,Brixham,Selective (100%),7.6,28.2,59.7,261=,45.9,183,136388,Churston Ferrers Grammar School Academy,112.4,66
317,Guildford County School,Guildford,Comprehensive,7.9,27.1,47.7,369,45.8,184,139193,Guildford County School,107.4,60.9
140,Enniskillen Royal Grammar School,Enniskillen,Selective (100%),10.8,39.1,73.8,105=,45.7,185,999999,not an English school,#N/A,#N/A
157,"St John the Baptist School, Woking",Woking,Comprehensive,14.4,43.8,71,126=,45.6,186,143369,"St John the Baptist Catholic Comprehensive School, Woking",107.4,60.5
193,Ashmole Academy,London,Partially selective (8%),9.8,31.7,64.8,202,45.5,187,136308,Ashmole Academy,107.6,62.2
126,The St Marylebone CofE School,London,Partially selective (10%),16,43,76,81,45.4,188,137353,The St Marylebone CofE School,107.9,61.5
283,Maidstone Grammar School for Girls,Maidstone,Selective (100%),8,25.2,52.5,336,45.3,189,118836,Maidstone Grammar School for Girls,110.8,66.3
177,High Storrs School,Sheffield,Comprehensive,13.3,34.1,67.1,170,45.3,189,145455,High Storrs School,107.3,61.1
202,Hinchley Wood School,Esher,Comprehensive,14,37,64,208,45,191,137855,Hinchley Wood School,107.9,60.6
238,"Ursuline High School, Wimbledon",London,Comprehensive,-,27,58.8,273=,45,191,102683,Ursuline High School Wimbledon,107.3,61.3
187,Calday Grange Grammar School,West Kirby,Selective (100%),12.9,38.8,65.8,187=,44.7,193,139144,Calday Grange Grammar School,111.3,64.7
243,Maidstone Grammar School,Maidstone,Selective (100%),4.7,21.2,58.6,275,44.5,194,118835,Maidstone Grammar School,111.3,66.6
307,Teddington School,London,Comprehensive,8.4,25.8,49.5,356=,44.3,195,138460,Teddington School,106,53.6
232,"Balcarras School, Cheltenham",Cheltenham,Comprehensive,8.6,29.8,59.8,259=,44.2,196,136474,Balcarras School,108,62.4
222,Maiden Erlegh School,Reading,Comprehensive,-,33,61,241,44,197,136637,Maiden Erlegh School,106.7,58.5
133,Cowbridge School,Cowbridge,Comprehensive,26.5,51.4,75.8,82=,44,197,999999,not an English school,#N/A,#N/A
160,St Thomas the Apostle School and Sixth Form College,London,Comprehensive,12.4,39.8,70.7,131,44,197,100857,The St Thomas the Apostle College,104.3,60.5
252,St Richard Reynolds RC College,London,Comprehensive,9.6,29.2,57.8,288=,43.2,200,149297,St Richard Reynolds Catholic High School,106.9,58.7
135,Kesteven and Sleaford High School,Sleaford,Selective (100%),17.2,46.4,76.2,76=,43.1,201,137667,Kesteven and Sleaford High School Selective Academy,109.8,65.3
