year,selective,pct_own_aa
2010,True,0.7865853658536586
2010,False,0.4165144318597004
2011,True,0.8048780487804879
2011,False,0.47283018867924526
2012,True,0.9207317073170732
2012,False,0.6325532658050995
2013,True,0.9390243902439024
2013,False,0.721025641025641
2014,True,0.9386503067484663
2014,False,0.7523689197725837
2015,True,0.9447852760736196
2015,False,0.7852703542573026
2016,True,0.9454545454545454
2016,False,0.8053152039555006
2017,True,0.9447852760736196
2017,False,0.8286594761171032
2018,True,0.9451219512195121
2018,False,0.8523838630806846
2019,True,0.9451219512195121
2019,False,0.8721071863580999
2020,True,0.9447852760736196
2020,False,0.8849073792894018
2021,True,0.9451219512195121
2021,False,0.8946569520340012
2022,True,0.950920245398773
2022,False,0.9009063444108761
