Score,Home
68,Buckinghamshire
112,Buckinghamshire
90,Buckinghamshire
113,Buckinghamshire
84,Out of county
73,Buckinghamshire
103,Out of county
107,Buckinghamshire
96,Buckinghamshire
89,Buckinghamshire
88,Buckinghamshire
76,Buckinghamshire
142,Buckinghamshire
73,Buckinghamshire
93,Buckinghamshire
117,Buckinghamshire
100,Out of county
88,Buckinghamshire
78,Buckinghamshire
106,Out of county
98,Buckinghamshire
81,Buckinghamshire
79,Buckinghamshire
100,Buckinghamshire
76,Buckinghamshire
83,Buckinghamshire
75,Buckinghamshire
94,Buckinghamshire
67,Buckinghamshire
79,Buckinghamshire
87,Buckinghamshire
94,Buckinghamshire
101,Buckinghamshire
93,Buckinghamshire
80,Buckinghamshire
85,Buckinghamshire
70,Buckinghamshire
76,Buckinghamshire
82,Buckinghamshire
97,Buckinghamshire
87,Buckinghamshire
105,Buckinghamshire
96,Buckinghamshire
104,Buckinghamshire
84,Buckinghamshire
80,Buckinghamshire
92,Buckinghamshire
77,Buckinghamshire
95,Buckinghamshire
86,Buckinghamshire
97,Buckinghamshire
115,Buckinghamshire
81,Buckinghamshire
78,Buckinghamshire
97,Buckinghamshire
86,Buckinghamshire
101,Buckinghamshire
93,Buckinghamshire
82,Buckinghamshire
83,Buckinghamshire
90,Buckinghamshire
75,Out of county
108,Buckinghamshire
93,Out of county
80,Buckinghamshire
66,Buckinghamshire
105,Buckinghamshire
130,Buckinghamshire
87,Buckinghamshire
76,Buckinghamshire
83,Buckinghamshire
100,Buckinghamshire
90,Buckinghamshire
89,Buckinghamshire
87,Buckinghamshire
90,Buckinghamshire
79,Buckinghamshire
79,Buckinghamshire
70,Buckinghamshire
131,Buckinghamshire
80,Buckinghamshire
92,Buckinghamshire
83,Buckinghamshire
79,Buckinghamshire
82,Buckinghamshire
131,Buckinghamshire
93,Buckinghamshire
70,Buckinghamshire
79,Buckinghamshire
69,Buckinghamshire
81,Buckinghamshire
102,Buckinghamshire
101,Buckinghamshire
90,Buckinghamshire
92,Buckinghamshire
90,Buckinghamshire
81,Buckinghamshire
74,Buckinghamshire
83,Buckinghamshire
75,Buckinghamshire
85,Buckinghamshire
79,Buckinghamshire
96,Buckinghamshire
94,Buckinghamshire
88,Buckinghamshire
81,Buckinghamshire
106,Buckinghamshire
95,Buckinghamshire
84,Buckinghamshire
93,Buckinghamshire
75,Buckinghamshire
87,Buckinghamshire
108,Buckinghamshire
83,Buckinghamshire
123,Buckinghamshire
86,Buckinghamshire
86,Buckinghamshire
83,Buckinghamshire
99,Buckinghamshire
104,Buckinghamshire
119,Buckinghamshire
85,Buckinghamshire
68,Buckinghamshire
89,Buckinghamshire
82,Buckinghamshire
78,Out of county
101,Buckinghamshire
100,Buckinghamshire
69,Buckinghamshire
83,Buckinghamshire
148,Out of county
79,Buckinghamshire
109,Buckinghamshire
84,Buckinghamshire
83,Buckinghamshire
85,Buckinghamshire
86,Buckinghamshire
94,Buckinghamshire
77,Buckinghamshire
103,Out of county
90,Buckinghamshire
84,Buckinghamshire
83,Buckinghamshire
115,Buckinghamshire
99,Buckinghamshire
91,Buckinghamshire
138,Buckinghamshire
72,Buckinghamshire
112,Buckinghamshire
91,Out of county
95,Buckinghamshire
105,Buckinghamshire
120,Out of county
87,Buckinghamshire
110,Buckinghamshire
89,Buckinghamshire
99,Buckinghamshire
81,Buckinghamshire
114,Buckinghamshire
80,Buckinghamshire
97,Buckinghamshire
78,Buckinghamshire
91,Buckinghamshire
75,Buckinghamshire
84,Buckinghamshire
99,Buckinghamshire
113,Buckinghamshire
114,Buckinghamshire
87,Buckinghamshire
107,Buckinghamshire
94,Buckinghamshire
94,Buckinghamshire
81,Buckinghamshire
100,Buckinghamshire
82,Buckinghamshire
88,Buckinghamshire
97,Buckinghamshire
75,Buckinghamshire
80,Buckinghamshire
86,Out of county
112,Buckinghamshire
101,Buckinghamshire
80,Buckinghamshire
80,Buckinghamshire
82,Buckinghamshire
109,Buckinghamshire
85,Buckinghamshire
114,Buckinghamshire
76,Buckinghamshire
72,Buckinghamshire
122,Buckinghamshire
75,Buckinghamshire
89,Buckinghamshire
88,Buckinghamshire
84,Buckinghamshire
107,Buckinghamshire
74,Buckinghamshire
91,Buckinghamshire
118,Buckinghamshire
83,Buckinghamshire
95,Buckinghamshire
109,Buckinghamshire
74,Buckinghamshire
90,Buckinghamshire
100,Buckinghamshire
78,Out of county
72,Buckinghamshire
105,Buckinghamshire
88,Buckinghamshire
77,Buckinghamshire
73,Buckinghamshire
107,Buckinghamshire
77,Buckinghamshire
85,Buckinghamshire
90,Buckinghamshire
70,Buckinghamshire
86,Buckinghamshire
118,Buckinghamshire
82,Buckinghamshire
84,Buckinghamshire
86,Buckinghamshire
87,Buckinghamshire
106,Buckinghamshire
92,Buckinghamshire
89,Buckinghamshire
83,Buckinghamshire
104,Buckinghamshire
108,Buckinghamshire
73,Buckinghamshire
81,Buckinghamshire
82,Buckinghamshire
94,Buckinghamshire
75,Buckinghamshire
83,Buckinghamshire
91,Buckinghamshire
83,Buckinghamshire
85,Buckinghamshire
106,Buckinghamshire
87,Out of county
94,Buckinghamshire
105,Buckinghamshire
98,Out of county
106,Buckinghamshire
90,Buckinghamshire
120,Buckinghamshire
86,Buckinghamshire
107,Buckinghamshire
107,Buckinghamshire
68,Buckinghamshire
92,Buckinghamshire
89,Buckinghamshire
110,Buckinghamshire
100,Buckinghamshire
108,Buckinghamshire
76,Buckinghamshire
75,Buckinghamshire
89,Buckinghamshire
83,Buckinghamshire
85,Buckinghamshire
78,Buckinghamshire
77,Buckinghamshire
106,Buckinghamshire
87,Buckinghamshire
89,Buckinghamshire
82,Buckinghamshire
110,Buckinghamshire
78,Buckinghamshire
73,Buckinghamshire
92,Buckinghamshire
93,Buckinghamshire
101,Buckinghamshire
125,Buckinghamshire
85,Buckinghamshire
80,Buckinghamshire
93,Buckinghamshire
86,Out of county
105,Buckinghamshire
118,Buckinghamshire
90,Buckinghamshire
130,Out of county
120,Buckinghamshire
70,Buckinghamshire
98,Buckinghamshire
57,Buckinghamshire
86,Buckinghamshire
105,Buckinghamshire
76,Buckinghamshire
79,Buckinghamshire
88,Buckinghamshire
81,Buckinghamshire
86,Buckinghamshire
94,Buckinghamshire
94,Buckinghamshire
79,Buckinghamshire
85,Buckinghamshire
74,Buckinghamshire
90,Buckinghamshire
65,Buckinghamshire
89,Buckinghamshire
89,Buckinghamshire
78,Buckinghamshire
80,Buckinghamshire
113,Buckinghamshire
89,Out of county
87,Buckinghamshire
69,Buckinghamshire
92,Buckinghamshire
99,Buckinghamshire
84,Buckinghamshire
98,Buckinghamshire
93,Buckinghamshire
87,Buckinghamshire
95,Buckinghamshire
79,Buckinghamshire
112,Buckinghamshire
118,Buckinghamshire
112,Buckinghamshire
86,Buckinghamshire
88,Buckinghamshire
118,Buckinghamshire
80,Buckinghamshire
89,Buckinghamshire
119,Buckinghamshire
123,Out of county
87,Buckinghamshire
90,Buckinghamshire
102,Out of county
98,Buckinghamshire
87,Buckinghamshire
112,Buckinghamshire
109,Buckinghamshire
87,Buckinghamshire
81,Buckinghamshire
97,Buckinghamshire
79,Buckinghamshire
82,Buckinghamshire
86,Buckinghamshire
99,Buckinghamshire
105,Buckinghamshire
85,Buckinghamshire
87,Buckinghamshire
96,Buckinghamshire
88,Buckinghamshire
94,Buckinghamshire
91,Buckinghamshire
73,Buckinghamshire
88,Buckinghamshire
95,Buckinghamshire
85,Buckinghamshire
111,Buckinghamshire
112,Buckinghamshire
67,Out of county
106,Buckinghamshire
104,Buckinghamshire
102,Buckinghamshire
111,Buckinghamshire
96,Buckinghamshire
74,Buckinghamshire
88,Buckinghamshire
76,Buckinghamshire
70,Buckinghamshire
83,Buckinghamshire
81,Buckinghamshire
80,Buckinghamshire
80,Buckinghamshire
84,Buckinghamshire
97,Buckinghamshire
92,Buckinghamshire
93,Out of county
60,Buckinghamshire
99,Buckinghamshire
96,Buckinghamshire
100,Buckinghamshire
76,Buckinghamshire
120,Buckinghamshire
79,Buckinghamshire
80,Buckinghamshire
122,Buckinghamshire
93,Buckinghamshire
91,Buckinghamshire
101,Buckinghamshire
98,Buckinghamshire
93,Buckinghamshire
98,Buckinghamshire
94,Buckinghamshire
113,Buckinghamshire
70,Buckinghamshire
76,Buckinghamshire
75,Buckinghamshire
89,Buckinghamshire
64,Buckinghamshire
99,Buckinghamshire
99,Out of county
109,Buckinghamshire
90,Buckinghamshire
131,Buckinghamshire
80,Buckinghamshire
88,Buckinghamshire
77,Buckinghamshire
80,Buckinghamshire
89,Buckinghamshire
93,Out of county
94,Out of county
78,Buckinghamshire
92,Buckinghamshire
100,Buckinghamshire
88,Buckinghamshire
84,Buckinghamshire
89,Buckinghamshire
101,Buckinghamshire
88,Buckinghamshire
79,Buckinghamshire
95,Buckinghamshire
91,Buckinghamshire
73,Buckinghamshire
73,Buckinghamshire
96,Buckinghamshire
99,Buckinghamshire
88,Buckinghamshire
72,Buckinghamshire
83,Buckinghamshire
89,Buckinghamshire
77,Buckinghamshire
74,Buckinghamshire
64,Buckinghamshire
115,Buckinghamshire
76,Buckinghamshire
101,Buckinghamshire
80,Buckinghamshire
81,Buckinghamshire
86,Buckinghamshire
79,Buckinghamshire
92,Buckinghamshire
81,Buckinghamshire
79,Buckinghamshire
70,Buckinghamshire
107,Buckinghamshire
86,Buckinghamshire
93,Buckinghamshire
78,Buckinghamshire
98,Buckinghamshire
71,Buckinghamshire
89,Buckinghamshire
82,Buckinghamshire
76,Buckinghamshire
104,Buckinghamshire
97,Buckinghamshire
79,Buckinghamshire
86,Buckinghamshire
69,Buckinghamshire
110,Buckinghamshire
88,Buckinghamshire
89,Buckinghamshire
83,Buckinghamshire
83,Buckinghamshire
56,Buckinghamshire
92,Buckinghamshire
74,Buckinghamshire
69,Buckinghamshire
86,Buckinghamshire
83,Buckinghamshire
74,Buckinghamshire
86,Buckinghamshire
85,Buckinghamshire
89,Buckinghamshire
80,Buckinghamshire
73,Buckinghamshire
102,Buckinghamshire
80,Buckinghamshire
96,Buckinghamshire
74,Buckinghamshire
80,Buckinghamshire
84,Buckinghamshire
93,Buckinghamshire
88,Buckinghamshire
96,Buckinghamshire
79,Buckinghamshire
114,Buckinghamshire
82,Buckinghamshire
118,Buckinghamshire
64,Buckinghamshire
81,Buckinghamshire
103,Buckinghamshire
102,Buckinghamshire
104,Buckinghamshire
98,Out of county
64,Buckinghamshire
77,Buckinghamshire
102,Buckinghamshire
98,Buckinghamshire
90,Buckinghamshire
75,Buckinghamshire
91,Buckinghamshire
80,Buckinghamshire
