year,record,primary_area,LA,STTS,grammar_req,EthCode,review
2018,1,!,Buckinghamshire,84,NotYes,OEO,AppendedBlankField
2018,2,!,Buckinghamshire,98,NotYes,WHB,AppendedBlankField
2018,3,!,Out,116,NotYes,WHB,AppendedBlankField
2018,4,!,Out,119,NotYes,REF,AppendedBlankField
2018,5,!,Buckinghamshire,72,NotYes,WHB,AppendedBlankField
2018,6,!,Out,110,NotYes,NOT,AppendedBlankField
2018,7,!,Out,120,NotYes,AIN,AppendedBlankField
2018,8,!,Buckinghamshire,103,NotYes,WHB,AppendedBlankField
2018,9,!,Buckinghamshire,103,NotYes,WHB,No
2018,10,!,Out,101,NotYes,WHB,AppendedBlankField
2018,11,!,Out,115,NotYes,MOT,AppendedBlankField
2018,12,!,Out,129,Y,WHB,AppendedBlankField
2018,13,!,Buckinghamshire,134,Y,WHB,AppendedBlankField
2018,14,!,Buckinghamshire,85,NotYes,WHB,AppendedBlankField
2018,15,!,Out,151,Y,AIN,AppendedBlankField
2018,16,!,Buckinghamshire,83,NotYes,WHB,AppendedBlankField
2018,17,!,Buckinghamshire,70,NotYes,BLF,AppendedBlankField
2018,18,!,Buckinghamshire,99,NotYes,ABA,AppendedBlankField
2018,19,!,Buckinghamshire,75,NotYes,APK,AppendedBlankField
2018,20,!,Out,123,Y,NOT,AppendedBlankField
2018,21,!,Buckinghamshire,104,NotYes,WHB,AppendedBlankField
2018,22,!,Out,122,Y,NOT,AppendedBlankField
2018,23,!,Buckinghamshire,101,NotYes,AAO,AppendedBlankField
2018,24,!,Out,116,NotYes,AAO,No
2018,25,!,Out,131,Y,APK,AppendedBlankField
2018,26,!,Buckinghamshire,130,Y,MOT,AppendedBlankField
2018,27,!,Buckinghamshire,92,NotYes,WHB,AppendedBlankField
2018,28,!,Buckinghamshire,108,NotYes,AAO,AppendedBlankField
2018,29,!,Out,107,NotYes,AIN,AppendedBlankField
2018,30,!,Buckinghamshire,99,NotYes,WHB,AppendedBlankField
2018,31,!,Buckinghamshire,114,NotYes,WHB,No
2018,32,!,Buckinghamshire,71,NotYes,WHB,AppendedBlankField
2018,33,!,Buckinghamshire,122,Y,REF,AppendedBlankField
2018,34,!,Out,133,Y,MWA,AppendedBlankField
2018,35,!,Out,91,NotYes,MOT,AppendedBlankField
2018,36,!,Buckinghamshire,122,Y,WHB,AppendedBlankField
2018,37,!,Buckinghamshire,132,Y,WHB,AppendedBlankField
2018,38,!,Buckinghamshire,95,NotYes,WHB,AppendedBlankField
2018,39,!,Out,106,NotYes,WHB,AppendedBlankField
2018,40,!,Buckinghamshire,98,NotYes,BLF,AppendedBlankField
2018,41,!,Out,128,Y,MWA,AppendedBlankField
2018,42,!,Buckinghamshire,111,NotYes,WHB,AppendedBlankField
2018,43,!,Out,100,NotYes,APK,No
2018,44,!,Buckinghamshire,123,Y,WHB,AppendedBlankField
2018,45,!,Out,96,NotYes,AIN,AppendedBlankField
2018,46,!,Buckinghamshire,91,NotYes,AAO,AppendedBlankField
2018,47,!,Buckinghamshire,76,NotYes,WHA,AppendedBlankField
2018,48,!,Buckinghamshire,84,NotYes,BLG,AppendedBlankField
2018,49,!,Out,101,NotYes,BLF,No
2018,50,!,Out,136,Y,AIN,AppendedBlankField
2018,51,!,Out,104,NotYes,AIN,AppendedBlankField
2018,52,!,Buckinghamshire,104,NotYes,WHB,AppendedBlankField
2018,53,!,Out,103,NotYes,AIN,AppendedBlankField
2018,54,!,Out,88,NotYes,AIN,AppendedBlankField
2018,55,!,Buckinghamshire,80,NotYes,WHB,AppendedBlankField
2018,56,!,Buckinghamshire,71,NotYes,WHB,AppendedBlankField
2018,57,!,Out,87,NotYes,NOT,AppendedBlankField
2018,58,!,Out,104,NotYes,MWA,AppendedBlankField
2018,59,!,Out,111,NotYes,BLF,AppendedBlankField
2018,60,!,Buckinghamshire,125,Y,APK,AppendedBlankField
2018,61,!,Out,137,Y,NOT,AppendedBlankField
2018,62,!,Out,144,Y,WHB,AppendedBlankField
2018,63,!,Buckinghamshire,97,NotYes,APK,No
2018,64,!,Out,126,Y,REF,AppendedBlankField
2018,65,!,Out,120,NotYes,AIN,AppendedBlankField
2018,66,!,Buckinghamshire,109,NotYes,WHB,AppendedBlankField
2018,67,!,Buckinghamshire,78,NotYes,BLB,AppendedBlankField
2018,68,!,Buckinghamshire,79,NotYes,WHB,AppendedBlankField
2018,69,!,Out,116,NotYes,AIN,AppendedBlankField
2018,70,!,Buckinghamshire,86,NotYes,APK,AppendedBlankField
2018,71,!,Buckinghamshire,103,NotYes,MOT,AppendedBlankField
2018,72,!,Buckinghamshire,119,Y,MWB,Yes
2018,73,!,Buckinghamshire,96,NotYes,WHB,AppendedBlankField
2018,74,!,Out,102,NotYes,WHB,AppendedBlankField
2018,75,!,Buckinghamshire,112,NotYes,WHB,AppendedBlankField
2018,76,!,Out,94,NotYes,APK,AppendedBlankField
2018,77,!,Buckinghamshire,99,NotYes,WHB,AppendedBlankField
2018,78,!,Out,121,Y,BLF,AppendedBlankField
2018,79,!,Out,113,NotYes,AAO,AppendedBlankField
2018,80,!,Out,94,NotYes,APK,AppendedBlankField
2018,81,!,Buckinghamshire,90,NotYes,WHB,AppendedBlankField
2018,82,!,Buckinghamshire,68,NotYes,WHB,AppendedBlankField
2018,83,!,Buckinghamshire,122,Y,WHR,AppendedBlankField
2018,84,!,Out,122,Y,WHB,AppendedBlankField
2018,85,!,Buckinghamshire,89,NotYes,WHB,AppendedBlankField
2018,86,!,Buckinghamshire,87,NotYes,BLF,AppendedBlankField
2018,87,!,Out,142,Y,AIN,AppendedBlankField
2018,88,!,Out,102,NotYes,AIN,AppendedBlankField
2018,89,!,Buckinghamshire,96,NotYes,NOT,AppendedBlankField
2018,90,!,Buckinghamshire,123,Y,AAO,AppendedBlankField
2018,91,!,Out,138,Y,AIN,AppendedBlankField
2018,92,!,Out,96,NotYes,AIN,AppendedBlankField
2018,93,!,Out,90,NotYes,AppendedBlankField,AppendedBlankField
2018,94,!,Buckinghamshire,91,NotYes,WHB,AppendedBlankField
2018,95,!,Buckinghamshire,98,NotYes,WHB,AppendedBlankField
2018,96,!,Buckinghamshire,132,Y,AIN,AppendedBlankField
2018,97,!,Buckinghamshire,95,NotYes,WHB,AppendedBlankField
2018,98,!,Buckinghamshire,106,NotYes,APK,AppendedBlankField
2018,99,!,Buckinghamshire,86,NotYes,WHB,AppendedBlankField
2018,100,!,Out,114,NotYes,WHB,AppendedBlankField
2018,101,!,Out,94,NotYes,ABA,No
2018,102,!,Out,90,NotYes,APK,AppendedBlankField
2018,103,!,Buckinghamshire,97,NotYes,APK,No
2018,104,!,Out,96,NotYes,WHB,No
2018,105,!,Out,101,NotYes,AIN,AppendedBlankField
2018,106,!,Buckinghamshire,124,Y,WHB,AppendedBlankField
2018,107,!,Out,137,Y,WHA,AppendedBlankField
2018,108,!,Buckinghamshire,123,Y,AIN,AppendedBlankField
